Date,Company Name,Sector,Summary,Amount
2024-09-05,Entalpic,chemical industry,"A Paris, France-based startup using generative AI technology for materials discovery targeted to the chemical industry",€8.5M
2024-09-05,Angel Kids AI,Software/Internet,AI-powered browser designed to provide children with a safe and age-appropriate internet experience,$1.1M
2024-09-05,Ediphi,hospitality technology,"Ediphi provides VR training modules and classrooms that simulate real-world experiences, including emergency preparedness training for hurricanes and fires, and first aid response.",$1.5M
2024-09-05,Portex,Software,"A cloud-based software platform for freight management, allowing small- to mid-sized companies to centralize communication with broker and forwarder partners.",6.25m
2024-09-05,Cobre,Technology/Software,"A treasury platform for Latin American CFO offices, allowing companies to centralize money movement and banking partners for real-time payments and unified financial operations.",$35m
2024-09-05,E-PAL,Gaming and Social Companion Platform,"E-PAL, a Los Angeles, CA-based gaming and social companion platform, raised two funding rounds which brought total funding to $30m.",$30m
2024-09-05,CytoTronics,semiconductor-based platforms for discovery in cell biology,CytoTronics enhances cell biology discovery with its semiconductor-based platforms.,$13.5M
2024-09-05,Venova Medical,Medical Device,Developing technology for the creation of percutaneous arteriovenous fistulas (pAVF) for hemodialysis access.,$30M
2024-09-05,Mantel,Technology provider of a carbon capture system,"A carbon capture provider using molten borates, raising funds for full-scale commercial deployment of its high-temperature carbon capture systems.",$30M
2024-09-05,HDAX Therapeutics,biotechnology,Developing HDAC6-targeting therapeutics for neurological and cardiometabolic diseases via a novel mechanism for the discovery and development of therapeutics for high unmet medical needs.,US$3.2M (CA$4.3M)
2024-09-05,Capsa AI,Technology/Software,"A London, UK-based startup transforming due diligence in private equity by developing an AI operating system that allows investors at private equity funds to 'delegate' the manual, low-skill due diligence tasks.",£1.7M
2024-09-05,Amtivo,B2B certifications and assurance services,A B2B provider of certifications and assurance services that supports a company's growth through acquisition and organic revenue growth.,Not disclosed
2024-09-05,Rice Park Capital Management LP,"Private Investment Firm, Real Estate, Mortgage Technology",Rice Park Capital Management LP provides capital to early-stage and mid-stage real estate and mortgage technology businesses with a path to profitability and a potential for a strategic exit.,<None>
2024-09-05,Acuvity,AI Security and Governance,Comprehensive AI security and governance platform for employees and applications,$9M
2024-09-05,Malaa,Wealth management,A wealth management tool provider that intends to use funds to enhance plans to launch a new range of investment and savings products.,$17.2M
2024-09-05,Switch Bioworks,Biotechnology,"A San Carlos, CA-based biotechnology company developing low-cost and sustainable fertilizers, with a mission to pioneer a 'switchable' engineering approach that enables microbes to first compete and establish themselves on plant roots before switching on fertilizer production.",$17M
2024-09-05,Carbyon,Direct Air Capture (DAC),"Carbyon is a DAC startup developing machines to capture CO2 from the air, reducing costs and offering alternatives to fossil fuel-based products.",€15.3M
2024-09-05,AltScore,Fintech,AI-driven B2B credit infrastructure provider,$8.5m
2024-09-06,Fastn,Software,"Fastn is a provider of a no-code software application development platform allowing anyone to integrate and orchestrate multiple data sources in a single, unified API.",$2.6M
2024-09-06,6K,Sustainable production of engineered materials for lithium-ion batteries and additive manufacturing,"6K, a North Andover, MA-based leader in the sustainable production of engineered materials for lithium-ion batteries and additive manufacturing, closed $82M as part of its Series E funding round.",$82M
2024-09-06,YouMatch.ai,Technology,AI-driven dating app operating in the Telegram Ecosystem,$1.5M
2024-09-06,Vanilla Finance,Financial services or Trading platforms,"Provides a platform for simplified derivatives trading, real-time settlement, and leveraged financial products directly within Telegram, with a focus on accessibility and engagement.",<None>
2024-09-06,Exacto,"Agricultural, Turf, and Ornamental Horticulture",Exacto provides solutions to enhance delivery and reduce losses in soil and water management for growers.,<None>
2024-09-06,24M,Battery innovations company,"24M delivers battery innovations providing battery technologies and manufacturing methods through its chemistry-agnostic battery design, process, and platform, which reduce manufacturing costs while significantly improving safety, range, cost, performance, and recyclability.",$87M
2024-09-06,MyndYou,healthcare technology,"MyndYou is a provider of conversational AI solutions for healthcare, focused on developing products to help healthcare providers, payers, health systems and other healthcare organizations increase the reach and success of clinical and engagement programs.",<None>
2024-09-06,Athlens,Technology/Software,A platform dedicated to connecting student athletes with student creators and marketers.,Undisclosed
2024-09-06,Anytime AI,AI Development,A developer of an AI legal assistant for plaintiff lawyers.,$4M
2024-09-06,Wombo,Consumer AI,"A Toronto, Canada-based company which specializes in consumer AI applications, and intends to use the funds to expand its team, accelerate product development, and explore new frontiers in AI-powered content creation.",$9M
2024-09-06,Wattnow,cleantech,Wattnow helps companies take control of their energy usage through the combination of its plug-and-play hardware and software solutions.,$1.3M
2024-09-06,3DEO,Manufacturing,"Design, engineering, and metal additive manufacturing company",$3.5M
2024-09-08,Doccla,Healthcare,Virtual ward and remote patient monitoring services,£35M
2024-09-09,Bambusa Therapeutics,biotechnology,Developing bispecific antibodies for the treatment of immunological and inflammatory (I&I) disorders.,$15M
2024-09-09,NetNow,Technology/ Software,"A Toronto, Canada-based provider of a trade credit automation platform that automates the credit and collections process for wholesalers and distributors.",$1.8M
2024-09-09,PIN AI,AI Infrastructure,PIN AI is developing an open-source personal AI operating system that leverages smartphone and app data to empower users with control and privacy.,$10 million
2024-09-09,Mangomint,"SaaS, Beauty and Wellness","Mangomint is a salon and spa software provider that offers a SaaS platform to automate day-to-day operations, increase profit, and enhance client experiences for beauty and wellness businesses.",$47M
2024-09-09,Superluminal Medicines,Healthcare,"Superluminal Medicines is a generative biology and chemistry company that uses a combination of deep biology and chemistry expertise, machine learning, and proprietary big data infrastructure to revolutionize the speed and accuracy of how medicine is created.",$120M
2024-09-09,double jump.tokyo,Web3 solutions and blockchain games,"A Tokyo, Japan-based startup that specializes in Web3 solutions and developing blockchain games.",$10M
2024-09-09,Odigos,Software/Technology,Odigos is a NYC-based provider of an eBPF-based observability platform that aims to simplify distributed tracing by enabling customers to monitor data requests as they flow through their system without requiring code changes or impacting performance.,$13M
2024-09-09,CSA Medical,Medical Device,"Developer of The RejuvenAir System, a medical device advancing liquid nitrogen spray cryotherapy for the treatment of chronic bronchitis.",$53M
2024-09-09,ArcanaBio,biotech,"A biotech company developing diagnostic technologies, with a focus on nano-photonics and biosensors, aiming to bring laboratory-grade testing into everyday environments.",Not disclosed
2024-09-09,Citroniq Chemicals,Energy Transition,"Citroniq Chemicals is a Houston, TX-based producer of carbon-negative materials that specializes in energy transition by producing carbon negative materials at scale.",$12M
2024-09-09,Korint,Insurtech (Startup),Korint provides a SaaS core platform allowing insurers and brokers to quickly deploy new insurance products.,€5m
2024-09-09,Constantiam Biosciences,Biotechnology/Life Sciences,Constantiam Biosciences is a startup focused on powering genomic medicine through platform engines leveraging high-throughput experimentation and advanced computations.,$2.05M
2024-09-09,Espislogen,R&D,Develops immunoglobulin E (IgE) antibodies to treat cancer,£12.5M
2024-09-09,MirrorWeb,Financial services,MirrorWeb helps organizations meet their compliance and digital preservation needs through a unified communications supervision solution.,$63M
2024-09-09,Cercli,Technology/Software,"Cercli, a Dubai-based HR and Payroll platform, raised $4M in Seed funding to expand operations and business reach.",$4M
2024-09-09,Calyxia,Industrial B2B Cleantech,"Calyxia is a Paris-based company that specializes in advanced and biodegradable microcapsules and microparticles for use in Consumer Goods, Crop Protection and Advanced Materials.",$35m
2024-09-09,"OrsoBio, Inc.",Biopharmaceutical,Developing treatments for obesity and obesity-associated disorders,$67m
2024-09-09,Somite Therapeutics,TechBio,"A stem cell biology company developing AI foundation models to produce human tissue for cell therapies at scale for diseases such as diabetes, obesity, and muscular dystrophies.",$4.8M
2024-09-09,OceanDoge,Cryptocurrency,OceanDoge is a German-based cryptocurrency project that combines blockchain technology with a mission to support marine conservation.,$21.15 million
2024-09-09,Castik Capital,Private Equity,A Luxembourg-based private equity investment firm that focuses on creating market leaders by investing in high-quality and growing businesses in highly fragmented markets across Europe.,€2 Billion
2024-09-09,Candid Therapeutics,Biotechnology,Candid Therapeutics is a biotechnology company dedicated to developing potentially transformative drugs to address autoimmune diseases and discovering and developing therapeutic programs that address unmet medical needs in immunology.,$370M
